triggr,aptrig,airpower,icb2,cracno,cracid,systrgmo,systrgda,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,yrtrig,motrig,datrig,trigent,trigloc,southv,southpow,sizedu,strcdu,comlev,majres,yerres,monres,dayres,trgresra,crismg,cenvio,sevvio,usinv,usfavr,suinv,sufavr,gbinv,gbfavr,frinv,frfavr,itinv,itfavr,grinv,grfavr,jpinv,jpfavr,globorg,globact,globfavr,regorg,regact,rofavr,outcom,outfor,outevl,outesr,yrterm,moterm,daterm,trgterra,resterra,actloc,geog,cractloc,noactr,stainsys,period,syslev,pc,pcid,viol,iwc,powdis,powscore,gpinv,powinv,age,territ,regime,durreg,allycap,globmemb,nucler,powsta,issue,chissu,gravty,pethin,col,unemp,inflat,foodpr,labstr,short,econdt,regrep,socunr,massvl,gvinst,sourdt,ccode,year,majpow,logcap,milissue,polissue,econissue,gravty2,violence,violence2,democ,jointdem,crisno,actor,systrgyr,cap,polity2,majpowinv,instability,unrest,demgravity,polgravity,massviol,coldwar,unem2,powerdistr,econstatus,higravty,higravty2,othrfrce,logravty2,logravty3,cap2a,majpow2a,polity2a,milper,milex,energy,irst,upop,tpop,logengy,countryname,countrycode,iso2code,WBgdp,loggdp,logcap2a,logmilex,protrac,dem6,powscore2,time1,time2,time3,time4,airforce,airpossible,outcome,sanct,sanctongoing,econpress,sanctout,anysanct,sanctout2,capdem,cappol,powpol,out2
2,0,0,ICB2,196,360,6,26,ROMA,NIAN,TER,RITO,RY,,1940,7,99,355,1,355,1,1,1,1,3,1940,8,4,20,7,2,2,1,5,3,3,1,5,1,5,3,3,3,3,1,5,2,2,6,0,0,0,4,1,1,2,1940,9,7,54,35,31,31,1,7,62,2,1,1,0,2,1,999,999,3,1,3,2,2,1,3,2,1,1,1,6,3,0,1,3,1,1,9,2,1,1,1,1,1,2,360,1940,0,-4.43737,1,0,0,3,1,0,0,0,80,RUM,1940,0.011827,-7,0,1,1,0,-21,1,0,3,,1,1,0,0,0,0,0.011827,0,-7,815,,10620,261,1101,15910,9.270494,,,,,,-4.43737,,0,0,,1940,0,0,0,1913,1,0,0,0,0,0,0,,0,-0.082789,,0
9,1,1,ICB2,197,200,7,10,BATT,LE O,F BR,ITAI,N,,1940,7,10,255,1,255,3,2,1,2,8,1940,7,10,1,8,4,4,6,1,1,5,9,8,1,5,1,4,8,3,1,5,2,2,6,0,0,0,1,4,2,1,1940,9,15,68,68,33,33,1,4,62,2,2,3,31,4,6,999,999,7,1,1,2,1,3,4,2,1,3,1,6,6,0,1,3,2,1,3,1,1,2,2,2,1,1,200,1940,1,-2.354331,1,0,0,6,1,1,1,0,81,UKG,1940,0.094957,10,1,1,2,6,60,2,0,3,,1,1,1,1,0,0,0.094957,1,10,1020,9948329,232740,13183,18502,48226,12.35768,,,,,,-2.354331,16.11292,1,1,,1940,0,0,0,1918,1,3,0,1,0,3,1,3,0.094957,0.94957,,2
9,0,0,ICB2,198,200,8,19,E. A,FRIC,A CA,MPAI,GN,,1940,8,19,325,1,325,3,2,1,4,8,1940,12,2,106,8,4,4,3,1,1,5,9,8,1,5,8,3,1,5,1,5,2,2,6,0,0,0,1,4,2,1,1941,5,17,272,167,33,22,4,3,62,2,1,3,31,4,7,999,999,7,1,1,2,1,3,4,2,1,3,1,6,4,0,2,3,2,2,2,2,2,2,2,2,1,1,200,1940,1,-2.354331,1,0,0,4,1,1,1,0,82,UKG,1940,0.094957,10,1,1,2,4,40,2,0,3,,2,1,0,1,0,0,0.094957,1,10,1020,9948329,232740,13183,18502,48226,12.35768,,,,,,-2.354331,16.11292,1,1,,1940,0,0,0,1918,1,2,0,0,0,3,0,3,0.094957,0.94957,,2
9,0,0,ICB2,199,325,8,19,E. A,FRIC,A CA,MPAI,GN,,1941,3,27,200,1,200,3,1,1,4,8,1941,3,30,4,8,4,4,3,3,1,5,8,3,1,5,9,8,1,5,1,5,2,2,6,0,0,0,4,7,3,1,1941,5,17,51,48,35,22,4,2,55,2,1,3,31,4,8,999,999,7,1,3,2,2,2,3,4,1,3,1,6,4,0,9,9,9,9,2,2,2,2,2,2,2,1,325,1940,1,-3.522586,1,0,0,4,1,1,0,0,82,ITA,1940,0.029523,-9,1,2,2,0,-36,2,0,,,2,1,0,1,0,0,0.029523,1,-9,1634,606523,17366,2258,8304,44470,9.76227,,,,,,-3.522586,13.3155,1,0,,1940,0,0,0,1884,1,2,0,0,0,3,0,3,0,-0.265707,,2
9,1,0,ICB2,200,350,10,28,BALK,AN I,NVAS,IONS,,,1940,10,28,325,1,325,3,1,1,1,7,1940,10,28,1,8,4,4,2,3,1,5,8,1,1,5,8,3,3,3,1,5,2,2,6,0,0,0,1,4,2,1,1940,11,21,25,25,35,35,1,6,62,2,2,3,31,4,4,999,999,5,1,3,2,4,2,3,2,1,1,1,6,6,0,1,9,9,9,9,9,9,2,2,2,2,1,350,1940,0,-5.980722,1,0,0,6,1,1,0,0,83,GRC,1940,0.002527,-8,1,2,2,0,-48,2,0,,,,1,1,1,0,0,0.002527,0,-8,105,62145,786,15,865,7319,6.666957,,,,,,-5.980722,11.03723,1,0,,1940,0,0,0,1912,1,2,0,0,0,3,0,3,0,-0.020216,,2
8,0,0,ICB2,201,345,10,28,BALK,AN I,NVAS,IONS,,,1940,10,28,325,1,325,3,2,1,1,6,1940,11,1,5,6,1,1,1,5,1,5,3,1,1,5,8,3,3,3,1,5,2,2,6,0,0,0,1,10,2,1,1940,11,21,26,22,35,35,3,8,62,2,2,1,0,1,1,999,999,4,1,3,2,2,2,1,2,1,1,1,6,3,0,1,2,1,1,9,9,1,2,2,2,2,1,345,1940,0,-5.411038,1,0,0,3,0,0,0,0,83,YUG,1940,0.004467,2,1,2,2,0,6,2,0,2,,1,1,0,0,0,0,0.004467,0,2,149,121456,3976,258,774,15811,8.288032,,,,,,-5.411038,11.70731,0,0,,1940,0,0,0,1918,1,0,0,0,0,0,0,,0,0.008934,,0
8,0,0,ICB2,202,200,10,28,BALK,AN I,NVAS,IONS,,,1940,10,28,325,1,325,3,3,1,2,8,1940,11,3,7,8,4,4,2,3,1,5,9,8,1,5,8,3,1,5,1,5,2,2,6,0,0,0,1,10,2,1,1940,11,22,26,20,33,35,3,7,62,2,2,3,31,4,2,999,999,7,1,1,2,1,3,4,2,1,3,1,6,4,0,1,1,1,1,2,1,1,2,2,2,1,1,200,1940,1,-2.354331,1,0,0,4,1,1,1,0,83,UKG,1940,0.094957,10,1,1,2,4,40,2,0,1,,1,1,0,1,0,0,0.094957,1,10,1020,9948329,232740,13183,18502,48226,12.35768,,,,,,-2.354331,16.11292,1,1,,1940,0,0,0,1918,1,2,0,1,0,3,1,3,0.094957,0.94957,,2
8,0,0,ICB2,203,640,10,28,BALK,AN I,NVAS,IONS,,,1940,10,28,325,1,355,1,1,1,1,3,1940,11,1,5,1,1,1,3,3,1,5,3,1,1,5,8,3,3,1,1,5,2,2,6,0,0,0,2,1,1,2,1941,2,17,113,109,15,35,2,8,62,2,2,1,0,1,1,999,999,4,1,1,2,2,1,1,2,1,2,1,6,5,0,9,9,1,1,9,2,1,2,2,2,2,1,640,1940,0,-5.531006,1,0,0,5,0,0,0,0,83,TUR,1940,0.003962,-7,1,2,2,0,-35,2,0,,,1,1,1,0,0,0,0.003962,0,-7,,79176,2179,38,1169,17714,7.686621,,,,,,-5.531006,11.27943,0,0,,1940,0,0,0,1944,0,0,0,0,0,0,0,0,0,-0.027734,,0
9,0,0,ICB2,204,325,10,28,BALK,AN I,NVAS,IONS,,,1940,11,21,350,1,350,2,1,1,2,3,1940,12,5,16,8,4,4,3,3,1,5,8,3,1,5,9,8,8,1,1,5,2,2,6,0,0,0,2,10,2,1,1941,4,23,154,135,35,35,2,9,62,2,2,3,31,4,8,999,999,7,1,3,2,2,2,3,4,1,3,1,6,4,0,9,9,1,1,9,9,1,2,2,2,2,1,325,1940,1,-3.522586,1,0,0,4,1,1,0,0,83,ITA,1940,0.029523,-9,1,2,2,0,-36,2,0,,,1,1,0,1,0,0,0.029523,1,-9,1634,606523,17366,2258,8304,44470,9.76227,,,,,,-3.522586,13.3155,1,0,,1940,0,0,0,1884,1,2,0,0,0,3,0,3,0,-0.265707,,2
4,0,0,ICB2,205,255,10,28,BALK,AN I,NVAS,IONS,,,1940,11,21,350,1,200,3,1,1,1,8,1940,12,13,23,8,4,4,3,3,1,5,8,3,1,5,8,3,9,8,1,5,2,2,6,0,0,0,1,4,2,1,1941,6,1,197,175,32,35,3,10,62,2,2,3,31,4,8,999,999,7,1,3,2,2,2,4,2,1,3,1,6,4,0,2,9,9,9,9,2,2,2,2,2,2,1,255,1940,1,-1.764041,1,0,0,4,1,1,0,0,83,GMY,1940,0.171351,-9,1,2,2,0,-36,2,0,,,2,1,0,1,0,0,0.171351,1,-9,3300,2.12E+07,256916,21540,25219,90211,12.4565,,,,,,-1.764041,16.86951,1,0,,1940,0,0,0,1916,1,2,0,0,0,3,0,3,0,-1.542159,,2
2,0,0,ICB2,206,345,10,28,BALK,AN I,NVAS,IONS,,,1941,3,4,255,1,255,3,3,1,1,3,1941,3,24,21,7,3,4,3,3,1,5,3,1,1,5,1,5,8,3,1,5,2,2,6,0,0,0,4,9,3,1,1941,4,17,45,25,35,35,3,5,55,2,2,3,31,4,4,999,999,4,1,3,2,2,2,1,2,1,1,1,6,6,0,2,2,2,2,9,9,2,2,2,2,1,1,345,1940,0,-5.411038,1,0,0,6,1,1,0,0,83,YUG,1940,0.004467,2,1,1,2,0,12,2,0,2,,2,1,1,1,0,0,0.004467,0,2,149,121456,3976,258,774,15811,8.288032,,,,,,-5.411038,11.70731,1,0,,1940,0,0,0,1918,1,2,0,0,0,3,0,3,0,0.008934,,2
9,1,0,ICB2,207,350,10,28,BALK,AN I,NVAS,IONS,,,1941,4,6,255,1,255,3,1,1,1,6,1941,4,12,7,8,4,4,3,1,1,5,8,1,1,5,8,3,8,3,1,5,2,2,6,0,0,0,4,7,3,1,1941,4,23,18,12,35,35,1,8,55,2,2,3,31,4,2,999,999,5,1,3,2,4,2,3,2,1,1,1,6,5,0,1,9,9,9,9,1,1,2,2,2,1,1,350,1940,0,-5.980722,1,0,0,5,1,1,0,0,83,GRC,1940,0.002527,-8,1,1,2,0,-40,2,0,,,1,1,1,1,0,0,0.002527,0,-8,105,62145,786,15,865,7319,6.666957,,,,,,-5.980722,11.03723,1,0,,1940,0,0,0,1912,1,2,0,0,0,3,0,3,0,-0.020216,,2
8,1,0,ICB2,208,200,10,28,BALK,AN I,NVAS,IONS,,,1941,4,6,255,1,255,3,3,1,2,6,1941,4,27,22,8,4,4,3,1,1,5,9,8,1,5,8,3,8,3,1,5,2,2,6,0,0,0,4,7,3,1,1941,6,1,89,68,33,35,3,8,55,2,2,3,31,4,7,999,999,7,1,1,2,1,3,4,2,1,3,1,6,4,0,1,3,2,2,2,1,1,2,2,2,2,1,200,1940,1,-2.354331,1,0,0,4,1,1,1,0,83,UKG,1940,0.094957,10,1,2,2,4,40,2,0,3,,1,1,0,1,0,0,0.094957,1,10,1020,9948329,232740,13183,18502,48226,12.35768,,,,,,-2.354331,16.11292,1,1,,1940,0,0,0,1918,1,2,0,1,0,3,1,3,0.094957,0.94957,,2
7,0,0,ICB2,209,645,4,29,MID-,EAST,CAM,PAIG,N,,1941,4,29,200,1,200,3,2,1,2,6,1941,4,29,1,7,3,3,3,3,1,5,8,3,1,5,3,1,8,1,1,5,2,2,6,0,0,0,4,7,3,2,1941,5,30,32,32,15,15,1,8,55,2,2,1,0,3,1,999,999,5,1,4,2,2,1,3,2,1,1,2,1,2,0,1,9,1,1,9,9,1,2,2,2,1,1,645,1941,0,-6.577013,0,1,0,2,1,1,0,0,84,IRQ,1941,0.001392,-4,1,1,2,0,-8,2,0,,,1,0,0,0,0,1,0.001392,0,-4,,,2239,0,419,3745,7.713785,,,,,,-6.577013,,0,0,,1941,0,0,0,1931,1,0,0,0,0,0,0,,0,-0.005568,,0
7,0,1,ICB2,210,200,4,29,MID-,EAST,CAM,PAIG,N,,1941,4,29,645,1,255,3,3,1,4,8,1941,5,2,4,8,4,3,3,1,1,5,9,8,1,5,3,3,8,3,1,5,2,2,6,0,0,0,1,8,2,2,1941,7,14,77,74,33,15,4,8,55,2,2,3,31,3,3,999,999,7,1,1,2,1,3,4,2,1,3,1,6,4,0,1,3,2,1,3,1,1,2,2,2,1,1,200,1941,1,-2.310063,1,0,0,4,1,1,1,0,84,UKG,1941,0.099255,10,1,1,2,4,40,2,0,3,,1,1,0,0,0,0,0.099255,1,10,2300,1.13E+07,228173,12510,18579,48216,12.33786,,,,,,-2.310063,16.23862,1,1,,1941,0,0,0,1918,1,1,0,0,0,2,0,2,0.099255,0.99255,,1
9,0,1,ICB2,211,255,4,29,MID-,EAST,CAM,PAIG,N,,1941,5,14,200,1,200,3,1,1,4,9,1941,5,31,18,8,4,2,3,3,1,5,8,3,1,5,3,1,9,8,1,5,2,2,6,0,0,0,4,4,3,2,1941,6,6,24,7,32,15,4,8,55,2,2,3,31,3,10,999,999,7,1,3,2,2,2,4,4,2,3,2,1,4,0,2,9,9,9,9,2,2,2,2,2,2,1,255,1941,1,-1.597574,0,1,0,4,1,0,0,0,84,GMY,1941,0.202387,-9,1,2,2,0,-36,2,0,,,2,1,0,0,0,0,0.202387,1,-9,7100,2.89E+07,264396,20836,25412,90617,12.4852,,,,,,-1.597574,17.17935,1,0,,1941,0,0,0,1916,1,1,0,0,0,2,0,2,0,-1.821483,,1
9,0,0,ICB2,212,219,4,29,MID-,EAST,CAM,PAIG,N,,1941,6,8,200,1,200,3,9,1,4,8,1941,6,17,10,7,3,3,3,3,1,5,8,3,1,5,3,1,8,1,1,5,2,2,6,0,0,0,4,9,3,1,1941,7,14,37,28,33,15,4,8,55,2,2,3,31,3,1,999,999,5,1,4,1,5,1,9,4,1,1,2,1,4,0,4,4,4,4,4,4,4,4,4,4,4,1,219,1941,,,0,1,0,4,1,1,,0,84,VFR,1941,,,1,,,,,4,0,4,,,1,0,0,0,0,,,,,,,,,,,,,,,,,,1,,,1941,0,0,0,,0,0,0,0,0,0,0,,,,,0
9,1,1,ICB2,213,365,6,22,BARB,AROS,SA,,,,1941,6,22,255,1,255,3,1,1,1,9,1941,6,22,1,8,4,4,7,1,9,8,7,1,1,5,1,4,8,3,1,4,2,2,6,0,0,0,3,6,4,1,1941,12,5,167,167,30,31,1,9,55,2,2,3,31,4,4,999,999,7,1,1,3,2,2,3,2,1,3,1,6,6,0,2,2,2,2,2,2,2,1,2,2,2,1,365,1941,1,-2.084743,1,0,0,6,1,1,0,0,85,RUS,1941,0.124339,-9,1,2,2,0,-54,2,0,2,,2,1,1,1,0,0,0.124339,1,-9,4207,6884227,147154,15584,32546,196659,11.89923,,,,,,-2.084743,15.74474,1,0,,1941,0,0,0,1912,1,3,0,0,0,3,0,3,0,-1.119051,,2
9,1,1,ICB2,214,365,9,30,BARB,AROS,SA,,,,1941,9,30,255,1,255,3,1,1,1,9,1941,10,12,1,7,3,4,1,5,9,8,1,5,1,5,1,5,1,5,1,5,2,2,6,0,0,0,4,6,4,1,1941,12,5,67,66,30,31,1,2,55,2,2,3,31,4,8,999,999,2,1,1,3,2,2,4,2,1,3,1,6,6,0,3,3,2,1,1,2,1,2,1,2,2,1,365,1941,1,-2.084743,1,0,0,6,1,1,0,0,85,RUS,1941,0.124339,-9,1,2,1,0,-54,2,0,3,,1,1,1,1,0,0,0.124339,1,-9,4207,6884227,147154,15584,32546,196659,11.89923,,,,,,-2.084743,15.74474,1,0,,1941,0,0,0,1912,1,3,0,0,0,3,0,3,0,-1.119051,,2
9,0,0,ICB2,215,130,7,5,ECUA,DOR/,PERU,BDR,II,,1941,7,5,135,1,135,1,1,1,3,6,1941,7,23,19,7,2,3,3,1,1,5,1,5,1,5,1,5,1,5,1,5,2,2,6,4,7,1,4,1,3,2,1942,1,29,200,174,43,43,1,6,55,2,1,2,7,3,1,999,999,3,1,3,2,4,1,1,2,1,1,1,6,3,0,9,9,9,9,9,9,9,2,1,1,1,2,130,1941,0,-7.263003,1,0,0,3,1,1,0,0,86,ECU,1941,0.000701,-1,0,1,1,0,-3,1,0,,,,1,0,0,0,0,0.000701,0,-1,,1667,349,0,346,2520,5.855072,,,,,,-7.263003,7.418781,1,0,,1941,0,0,0,1920,1,0,0,0,0,0,0,,0,-0.000701,,0
9,0,1,ICB2,216,135,7,5,ECUA,DOR/,PERU,BDR,II,,1941,7,23,130,1,130,1,9,1,3,8,1941,7,24,2,7,3,3,3,3,1,5,1,5,1,5,1,5,1,5,1,5,2,2,6,4,7,1,1,1,2,2,1942,1,29,209,207,43,43,1,6,55,2,1,2,7,3,1,999,999,3,1,3,2,4,9,1,2,1,1,1,6,3,1,9,9,9,9,9,9,9,9,9,9,9,2,135,1941,0,-6.521133,1,0,0,3,1,1,0,0,86,PER,1941,0.001472,2,0,,,0,6,,0,,,,1,0,0,0,0,0.001472,0,2,32,7953,621,0,545,6800,6.431331,,,,,,-6.521133,8.981304,1,0,,1941,0,0,0,1929,1,1,0,0,0,2,0,2,0,0.002944,,1
9,0,0,ICB2,217,630,8,25,OCCU,PATI,ON O,F IR,AN,,1941,8,25,997,1,365,3,3,1,1,3,1941,8,28,4,7,2,3,3,1,8,3,8,3,1,5,1,5,1,9,1,5,2,2,6,0,0,0,2,9,1,2,1942,1,29,158,155,15,15,1,4,55,2,2,3,29,3,1,999,999,5,1,1,3,2,2,3,2,1,1,1,2,6,0,9,9,9,9,9,9,9,1,1,2,2,3,630,1941,0,-5.409249,1,0,0,6,1,1,0,0,87,IRN,1941,0.004475,-1,0,2,1,0,-6,2,0,,,,1,1,0,0,0,0.004475,0,-1,124,,2259,0,1407,14466,7.722678,,,,,,-5.409249,,1,0,,1941,0,0,0,1920,1,0,0,0,0,0,0,,0,-0.004475,,0
2,0,1,ICB2,218,740,11,26,PEAR,L HA,RBOR,,,,1941,11,26,2,1,2,3,9,3,2,8,1941,12,1,7,8,4,4,8,3,1,4,8,3,1,5,7,1,7,1,9,8,2,2,6,0,0,0,1,4,2,1,1942,2,15,83,77,11,12,3,13,55,2,2,3,31,4,1,999,999,7,1,1,2,4,3,4,4,1,3,3,1,5,0,2,9,2,2,9,9,2,2,2,2,1,1,740,1941,1,-2.708586,0,0,1,5,1,1,0,0,88,JPN,1941,0.066631,1,1,1,2,0,5,2,0,,,2,1,1,1,0,0,0.066631,1,1,3075,2929917,66842,6844,21290,72218,11.11009,,,,,,-2.708586,14.89048,1,0,,1941,0,0,0,1919,1,3,0,0,0,3,0,3,0,0.066631,,2
8,0,1,ICB2,219,200,11,26,PEAR,L HA,RBOR,,,,1941,12,7,740,1,740,3,2,3,2,8,1941,12,8,2,8,4,4,8,1,1,6,9,8,1,5,7,3,7,3,8,3,2,2,6,0,0,0,4,7,3,1,1942,2,15,71,70,33,12,1,13,55,2,2,3,31,4,2,999,999,7,1,1,2,1,3,4,1,1,3,1,6,5,0,1,3,1,1,2,1,1,2,2,2,2,1,200,1941,1,-2.310063,1,0,0,5,1,1,1,0,88,UKG,1941,0.099255,10,1,2,2,5,50,2,0,3,,1,1,1,1,0,0,0.099255,1,10,2300,1.13E+07,228173,12510,18579,48216,12.33786,,,,,,-2.310063,16.23862,1,1,,1941,0,0,0,1918,1,3,0,1,0,3,1,3,0.099255,0.99255,,2
8,0,0,ICB2,220,210,11,26,PEAR,L HA,RBOR,,,,1941,12,7,740,1,740,3,3,1,2,8,1941,12,8,2,8,4,4,8,1,1,6,8,1,1,5,7,3,7,3,8,3,2,2,6,0,0,0,4,7,3,1,1942,3,5,89,88,33,12,1,10,55,2,2,3,31,4,2,999,999,5,1,1,1,1,3,1,2,1,1,1,6,5,0,9,9,9,9,9,9,9,9,9,9,9,1,210,1941,,,1,0,0,5,1,1,,0,88,NTH,1941,,,1,,,,,,0,,,,1,1,1,0,0,,,,,,,,,,,,,,,,,,1,,,1941,0,0,0,1913,1,2,0,0,0,3,0,3,,,,2
8,1,1,ICB2,221,900,11,26,PEAR,L HA,RBOR,,,,1941,12,7,740,1,740,3,3,3,2,8,1941,12,9,3,8,4,4,8,1,1,5,8,1,1,5,7,3,7,3,8,3,2,2,6,0,0,0,1,10,2,1,1942,5,8,153,151,51,12,2,8,55,2,2,3,31,4,2,999,999,5,1,3,3,1,3,3,2,1,1,1,6,6,0,1,3,1,1,9,9,1,2,2,2,2,1,900,1941,0,-4.49892,1,0,0,6,1,1,1,0,88,AUL,1941,0.011121,10,1,2,2,6,60,2,0,3,,1,1,1,1,0,0,0.011121,0,10,400,550072,18668,1700,3414,7110,9.834566,,,,,,-4.49892,13.2178,1,1,,1941,0,0,0,1911,1,3,0,0,0,3,0,3,0.011121,0.11121,,2
8,1,0,ICB2,222,920,11,26,PEAR,L HA,RBOR,,,,1941,12,7,740,1,740,3,9,1,2,8,1941,12,9,3,7,2,2,8,1,1,5,8,1,1,5,7,3,7,3,8,3,2,2,6,0,0,0,1,10,2,1,1942,5,8,153,151,51,12,2,8,55,2,2,3,31,2,2,999,999,5,1,3,2,1,2,3,2,1,1,1,6,6,0,2,3,1,2,9,9,2,2,2,2,2,1,920,1941,0,-6.413669,1,0,0,6,1,0,1,0,88,NEW,1941,0.001639,10,1,2,2,6,60,2,0,3,,2,1,1,0,0,0,0.001639,0,10,100,120750,2177,0,354,1631,7.685703,,,,,,-6.413669,11.70148,1,1,,1941,0,0,0,1923,1,0,0,0,0,0,0,,0.001639,0.01639,,0
8,1,0,ICB2,223,20,11,26,PEAR,L HA,RBOR,,,,1941,12,7,740,1,740,3,3,1,2,8,1941,12,8,2,8,4,3,8,1,1,6,8,1,1,5,7,3,7,3,8,3,2,2,6,0,0,0,2,10,2,1,1942,6,7,183,182,41,12,4,11,55,2,2,3,31,3,2,999,999,5,1,3,3,1,3,3,2,1,1,1,6,5,0,2,3,1,2,2,9,2,2,2,2,2,1,20,1941,0,-4.194452,1,0,0,5,1,1,1,0,88,CAN,1941,0.015079,10,1,2,2,5,50,2,0,3,,2,1,1,0,0,0,0.015079,0,10,280,1038380,51156,2460,2645,11507,10.84264,,,,,,-4.194452,13.85317,1,1,,1941,0,0,0,1920,1,0,0,0,0,0,0,,0.015079,0.15079,,0
9,1,1,ICB2,224,2,11,26,PEAR,L HA,RBOR,,,,1941,12,7,740,1,740,3,2,3,1,8,1941,12,8,2,8,4,4,9,8,1,6,8,1,1,5,7,3,7,3,8,3,2,2,6,0,0,0,2,4,2,1,1942,6,7,183,182,41,12,1,12,55,2,2,3,31,4,1,999,999,7,1,2,3,1,3,4,4,2,3,1,6,5,0,1,3,1,1,2,2,1,2,2,2,2,1,2,1941,1,-1.40856,1,0,0,5,1,1,1,0,88,USA,1941,0.244495,10,1,2,2,5,50,2,0,3,,1,1,1,1,0,0,0.244495,1,10,1801,6301000,1031214,75150,38183,133402,13.84625,,,,,,-1.40856,15.65622,1,1,,1941,0,0,0,1907,1,3,0,1,0,3,1,3,0.244495,2.44495,,2
9,1,0,ICB2,225,800,11,26,PEAR,L HA,RBOR,,,,1941,12,8,740,1,740,3,9,1,2,7,1941,12,8,1,7,2,2,8,1,1,5,8,1,1,5,7,3,7,3,8,3,2,2,6,0,0,0,4,7,1,2,1941,12,10,3,3,12,12,2,8,55,2,2,1,0,2,1,999,999,5,1,1,2,2,2,1,2,1,1,1,6,6,0,9,9,9,9,9,9,9,2,2,2,2,1,800,1941,0,-5.649294,1,0,0,6,1,0,,0,88,THI,1941,0.00352,,1,2,2,,,2,0,,,,1,1,0,0,0,0.00352,0,,,21856,6,0,1423,15787,1.791759,,,,,,-5.649294,9.99223,0,,,1941,0,0,0,1913,1,0,0,0,0,0,0,,,,,0
8,1,0,ICB2,226,255,11,26,PEAR,L HA,RBOR,,,,1941,12,8,2,1,2,3,1,1,1,6,1941,12,11,4,6,1,1,8,3,1,4,8,3,1,5,7,1,9,8,8,1,2,2,6,0,0,0,1,10,2,1,1942,2,15,70,67,32,12,4,9,55,2,2,3,31,1,2,999,999,7,1,3,2,2,3,4,4,1,3,1,6,7,0,2,3,2,2,2,1,2,2,2,2,2,1,255,1941,1,-1.597574,1,0,0,,0,0,0,0,88,GMY,1941,0.202387,-9,1,2,2,,,2,0,3,,2,1,1,0,0,0,0.202387,1,-9,7100,2.89E+07,264396,20836,25412,90617,12.4852,,,,,,-1.597574,17.17935,1,0,,1941,0,0,0,1916,1,0,0,0,0,0,0,,0,-1.821483,,0
8,1,0,ICB2,227,325,11,26,PEAR,L HA,RBOR,,,,1941,12,8,2,1,2,3,1,1,1,6,1941,12,11,4,6,1,1,8,3,1,4,8,3,1,5,9,8,7,1,8,1,2,2,6,0,0,0,1,10,2,1,1942,2,15,70,67,35,12,4,9,55,2,2,3,31,1,2,999,999,7,1,3,2,2,2,3,4,1,3,1,6,7,0,1,9,1,1,2,1,1,2,2,2,2,1,325,1941,1,-3.909476,1,0,0,,0,0,0,0,88,ITA,1941,0.020051,-9,1,2,2,,,2,0,,,1,1,1,0,0,0,0.020051,1,-9,,541238,15703,2063,8432,44830,9.661607,,,,,,-3.909476,13.20161,1,0,,1941,0,0,0,1884,1,0,0,0,0,0,0,,0,-0.180459,,0
9,1,1,ICB2,228,365,6,28,STAL,INGR,AD,,,,1942,6,28,255,1,255,3,2,1,8,8,1942,11,19,145,8,4,4,1,6,9,8,1,6,1,5,8,3,8,3,1,4,2,2,6,0,0,0,1,4,2,1,1943,2,2,220,76,30,31,1,5,53,2,2,3,31,4,7,999,999,7,1,1,3,2,3,3,4,1,3,1,6,5,1,1,3,1,1,3,1,1,3,3,3,3,2,365,1942,1,-2.181084,1,0,0,5,1,1,0,0,89,RUS,1942,0.112919,-9,1,3,3,0,-45,3,0,3,,1,1,1,1,0,0,0.112919,1,-9,4932,7324156,139598,15147,31963,193800,11.84652,,,,,,-2.181084,15.80669,1,0,,1942,0,0,0,1912,1,3,0,0,0,3,0,3,0,-1.016271,,2
9,1,1,ICB2,229,255,6,28,STAL,INGR,AD,,,,1942,11,19,365,1,365,3,1,1,1,8,1942,11,20,2,8,4,4,1,5,8,3,1,5,1,5,8,3,9,8,1,5,2,2,6,0,0,0,4,7,3,1,1943,2,2,77,76,32,31,3,5,53,2,2,3,31,4,8,999,999,7,1,3,2,2,2,4,4,1,3,1,6,5,0,2,9,2,9,9,1,2,2,2,2,2,1,255,1942,1,-1.739831,1,0,0,5,1,1,0,0,89,GMY,1942,0.17555,-9,1,2,2,0,-45,2,0,,,2,1,1,1,0,0,0.17555,1,-9,7028,3.69E+07,268595,20480,25412,91207,12.50096,,,,,,-1.739831,17.42372,1,0,,1942,0,0,0,1916,1,3,0,0,0,3,0,3,0,-1.57995,,2
9,0,1,ICB2,230,255,10,23,EL A,LAME,IN,,,,1942,10,23,200,1,200,3,1,1,1,8,1942,11,3,11,8,4,4,8,3,1,5,8,3,8,1,8,1,9,8,1,5,2,2,6,0,0,0,4,7,3,1,1943,5,13,202,192,32,21,4,6,53,2,2,3,31,4,8,999,999,7,1,3,2,2,2,4,4,1,3,1,6,5,0,2,9,2,9,9,1,2,2,2,2,2,1,255,1942,1,-1.739831,1,0,0,5,1,1,0,0,90,GMY,1942,0.17555,-9,1,2,2,0,-45,2,0,,,2,1,1,1,0,0,0.17555,1,-9,7028,3.69E+07,268595,20480,25412,91207,12.50096,,,,,,-1.739831,17.42372,1,0,,1942,0,0,0,1916,1,3,0,0,0,3,0,3,0,-1.57995,,2
