triggr,aptrig,airpower,icb2,cracno,cracid,systrgmo,systrgda,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,yrtrig,motrig,datrig,trigent,trigloc,southv,southpow,sizedu,strcdu,comlev,majres,yerres,monres,dayres,trgresra,crismg,cenvio,sevvio,usinv,usfavr,suinv,sufavr,gbinv,gbfavr,frinv,frfavr,itinv,itfavr,grinv,grfavr,jpinv,jpfavr,globorg,globact,globfavr,regorg,regact,rofavr,outcom,outfor,outevl,outesr,yrterm,moterm,daterm,trgterra,resterra,actloc,geog,cractloc,noactr,stainsys,period,syslev,pc,pcid,viol,iwc,powdis,powscore,gpinv,powinv,age,territ,regime,durreg,allycap,globmemb,nucler,powsta,issue,chissu,gravty,pethin,col,unemp,inflat,foodpr,labstr,short,econdt,regrep,socunr,massvl,gvinst,sourdt,ccode,year,majpow,logcap,milissue,polissue,econissue,gravty2,violence,violence2,democ,jointdem,crisno,actor,systrgyr,cap,polity2,majpowinv,instability,unrest,demgravity,polgravity,massviol,coldwar,unem2,powerdistr,econstatus,higravty,higravty2,othrfrce,logravty2,logravty3,cap2a,majpow2a,polity2a,milper,milex,energy,irst,upop,tpop,logengy,countryname,countrycode,iso2code,WBgdp,loggdp,logcap2a,logmilex,protrac,dem6,powscore2,time1,time2,time3,time4,airforce,airpossible,outcome,sanct,sanctongoing,econpress,sanctout,anysanct,sanctout2,capdem,cappol,powpol,out2
2,0,0,ICB2,11,310,3,20,HUNG,ARIA,N WA,R,,,1919,3,20,997,1,360,1,3,1,1,8,1919,3,28,9,8,4,4,3,5,3,1,3,9,8,9,7,9,1,9,1,9,1,1,1,0,0,0,4,6,3,2,1919,8,3,137,128,32,32,2,7,49,1,1,1,0,4,1,999,999,5,1,3,1,2,1,2,4,1,1,1,6,6,0,4,4,4,4,4,4,4,4,4,4,4,3,310,1919,0,-5.576709,1,0,0,6,1,1,0,0,6,HUN,1919,0.003785,-7,0,,,0,-42,4,0,4,,,1,1,1,0,0,0.003785,0,-7,27,9584,3054,0,1176,7880,8.024207,,,,,,-5.576709,9.16785,0,0,,1919,0,0,0,1918,1,2,0,0,0,3,0,3,0,-0.026495,,2
9,0,0,ICB2,12,315,3,20,HUNG,ARIA,N WA,R,,,1919,5,11,310,1,310,1,3,1,9,8,1919,5,11,1,8,4,4,1,5,3,3,1,9,8,9,7,9,1,9,1,9,1,1,1,0,0,0,1,1,2,2,1919,6,24,45,45,32,32,2,7,49,1,1,1,0,4,7,999,999,4,1,3,1,1,1,2,4,1,1,1,6,3,0,4,4,4,4,4,4,4,4,4,4,4,3,315,1919,0,-4.546524,1,0,0,3,1,1,1,0,6,CZE,1919,0.010604,7,0,,,3,21,4,0,4,,,1,0,1,0,0,0.010604,0,7,150,21741,20823,786,929,13398,9.943813,,,,,,-4.546524,9.986955,0,1,,1919,0,0,0,1918,1,2,0,0,0,3,0,3,0.010604,0.074228,,2
2,0,0,ICB2,13,310,3,20,HUNG,ARIA,N WA,R,,,1919,6,8,220,1,220,3,3,1,1,1,1919,6,16,9,1,1,1,1,5,1,5,1,9,3,9,1,9,1,9,1,9,1,1,1,0,0,0,4,7,3,2,1919,6,16,9,1,32,32,2,3,49,1,1,1,0,1,3,999,999,4,1,3,1,2,1,2,4,1,1,1,6,5,0,4,4,4,4,4,4,4,4,4,4,4,3,310,1919,0,-5.576709,1,0,0,5,0,0,0,0,6,HUN,1919,0.003785,-7,0,,,0,-35,4,0,4,,,1,1,0,0,0,0.003785,0,-7,27,9584,3054,0,1176,7880,8.024207,,,,,,-5.576709,9.16785,0,0,,1919,0,0,0,1918,1,0,0,0,0,0,0,0,0,-0.026495,,0
9,0,0,ICB2,14,360,3,20,HUNG,ARIA,N WA,R,,,1919,7,20,310,1,310,1,9,9,9,8,1919,7,24,5,8,4,4,1,5,3,3,1,9,1,9,1,9,1,9,1,9,1,1,1,0,0,0,1,4,2,2,1919,8,3,15,10,31,32,3,7,49,1,1,1,0,4,7,999,999,4,1,3,2,2,3,1,4,1,1,1,6,3,0,9,9,9,9,9,9,9,9,9,9,9,3,360,1919,0,-4.9309,1,0,0,3,1,1,0,0,6,RUM,1919,0.00722,-4,0,,,0,-12,,0,,,,1,0,1,0,0,0.00722,0,-4,292,24568,2518,25,868,9722,7.83122,,,,,,-4.9309,10.1092,0,0,,1919,0,0,0,1913,1,2,0,0,0,3,0,3,0,-0.02888,,2
7,0,0,ICB2,15,350,3,66,SMYR,NA,,,,,1919,3,66,325,1,325,3,3,1,9,6,1919,5,15,76,7,2,2,3,1,1,5,3,1,3,1,8,3,1,5,1,5,1,1,1,0,0,0,2,1,1,1,1919,7,29,151,75,35,15,2,5,49,1,1,1,0,2,1,-1,-1,6,1,3,2,1,9,2,4,1,2,1,6,3,1,9,9,9,9,9,9,9,9,9,9,9,9,350,1919,0,-5.883866,1,0,0,3,1,0,,0,7,GRC,1919,0.002784,,1,,,,,,0,,-1,,1,0,0,0,0,0.002784,0,,58,53249,340,0,490,4674,5.828946,,,,,,-5.883866,10.88273,0,,-1,1919,0,0,0,1912,1,0,0,0,0,0,0,,,,,0
7,0,0,ICB2,16,325,3,99,SMYR,NA,,,,,1919,5,15,350,1,350,2,9,9,3,8,1919,5,99,9999,7,3,2,3,3,1,5,3,9,3,9,9,9,1,9,1,9,1,1,1,0,0,0,2,1,1,1,1919,7,29,76,9999,35,15,4,5,49,1,1,1,0,2,1,3,3,6,1,3,2,1,3,1,4,1,3,2,6,4,0,1,9,1,1,1,2,1,9,9,2,9,3,325,1919,1,-3.101315,0,1,0,4,1,0,0,0,7,ITA,1919,0.04499,-1,1,,,0,-4,2,0,,3,1,1,0,0,0,0,0.04499,1,-1,2000,273088,7442,732,4840,36070,8.914895,,,,,,-3.101315,12.51755,0,0,3,1919,0,0,0,1884,1,0,0,0,0,0,0,,0,-0.04499,-3,0
2,0,0,ICB2,17,700,4,15,THIR,D AF,GHAN,WAR,,,1919,4,15,200,1,200,3,9,1,1,8,1919,5,3,19,7,3,4,1,5,5,2,8,3,1,5,1,5,1,5,1,5,1,1,1,0,0,0,2,1,1,2,1919,8,8,116,97,13,13,1,3,49,1,1,1,0,4,1,-8,-8,6,1,2,2,2,3,2,4,1,1,2,1,2,0,9,9,9,9,9,9,9,1,1,9,9,1,700,1919,0,,0,1,0,2,1,1,0,0,8,AFG,1919,,-6,1,,1,0,-12,,0,,-8,,0,0,1,0,1,0.000037,0,-6,,,,,4,,,,,,,,-10.20459,,0,0,-8,1919,0,0,0,1924,0,2,0,0,0,3,0,3,0,-0.000222,48,2
7,0,1,ICB2,18,200,4,15,THIR,D AF,GHAN,WAR,,,1919,5,4,700,1,700,1,9,1,1,8,1919,5,9,6,7,3,4,1,5,5,2,9,8,1,5,1,5,1,5,1,5,1,1,1,0,0,0,2,1,1,2,1919,8,8,97,91,33,13,1,3,49,1,1,1,0,4,1,8,8,6,1,1,2,1,3,4,4,1,3,2,6,4,0,1,3,9,1,1,1,1,1,1,2,2,1,200,1919,1,-2.19845,0,1,0,4,1,1,1,0,8,UKG,1919,0.110975,8,1,2,1,4,32,2,0,3,8,1,1,0,1,0,0,0.110973,1,8,1333,745209,201771,8021,18356,44599,12.21489,,,,,,-2.198468,13.52142,0,1,8,1919,0,0,0,1918,1,3,0,0,0,3,0,3,0.110973,0.887784,64,2
9,0,0,ICB2,19,365,4,20,FINN,ISH/,RUSS,IAN,BDR.,,1919,4,20,375,1,375,1,9,9,3,8,1919,6,6,48,7,3,3,3,9,9,8,7,3,3,3,1,5,3,3,1,5,2,2,6,0,0,0,2,1,1,2,1920,10,14,543,496,30,34,1,5,49,1,1,2,17,3,1,11,11,7,1,1,3,2,1,4,4,1,3,1,6,3,0,1,1,1,1,1,1,1,1,1,1,1,1,365,1919,0,-2.761973,1,0,0,3,1,1,0,0,9,RUS,1919,0.063167,-1,0,1,1,0,-3,1,0,1,11,1,1,0,0,0,0,0.063166,0,-1,1550,1417699,14673,199,3566,142265,9.593764,,,,,,-2.761989,14.16455,1,0,11,1919,0,0,0,1912,1,0,0,0,0,0,0,,0,-0.063166,-11,0
9,0,0,ICB2,20,375,4,20,FINN,ISH/,RUSS,IAN,BDR.,,1919,5,18,365,1,365,3,9,4,3,8,1919,10,99,151,7,3,3,3,3,8,3,7,1,3,1,1,5,3,1,1,5,2,2,9,0,0,0,2,1,3,2,1920,10,14,517,366,34,34,1,6,49,1,1,2,17,3,1,-11,-11,7,1,3,2,1,1,2,4,1,1,1,6,3,0,1,1,1,1,1,1,1,1,1,1,1,1,375,1919,0,-6.630124,1,0,0,3,1,1,1,0,9,FIN,1919,0.00132,10,0,1,1,3,30,1,0,1,-11,1,1,0,0,0,0,0.00132,0,10,38,7642,102,0,188,3130,4.624973,,,,,,-6.630124,8.941415,1,1,-11,1919,0,0,0,1918,1,0,0,0,0,0,0,,0.00132,0.0132,-110,0
