,wikidata_name,wikidata_id,lat,lon,urban,forested,mountainous
143,Operation Iron Triangle,Q7097176,34.1660043,43.9055155,2,0,0
144,Operation Mountain Thrust,Q609978,NA,NA,NA,NA,NA
145,Operation Kaika,Q3354740,31.628871,65.7371749,2,0,1
146,Siege of Sangin,Q3030036,31.3636474,63.9586111,0,0,1
147,Operation Perth,Q4744313,32.8475517,66.0106684,0,0,1
148,Operation Gaugamela,Q7097069,35.4666329,44.3798895,2,0,1
149,Operation Together Forward,Q7097646,33.315241,44.3660671,2,0,0
150,Siege of Musa Qala,Q7510253,31.3636474,63.9586111,0,0,1
151,Operation River Falcon,Q7097465,33.24720001,44.35680008,2,0,0
152,Operation Guardian Tiger IV,Q7097106,34.1251832,42.374164,2,0,0
153,Second Battle of Habbaniyah,Q24083362,33.3806001,43.584719,2,0,0
154,Battle of Diwaniya,Q4870879,31.9740458,44.8957445,2,0,0
155,Operation Al Majid,Q7096735,32.5597614,41.9196471,0,0,0
156,Operation Medusa,Q1763044,31.5434701,65.4608867,0,0,1
157,Operation Mountain Fury,Q909414,33.706199,69.3831079,0,0,1
158,Chenagai airstrike,Q5091023,34.7313165,71.5130445,0,0,1
159,Battle of Turki,Q4872608,33.7517053,44.6080708,2,0,0
160,Battle of Ras Kamboni,Q4872168,-1.6360371,41.5837116,0,0,0
161,Battle of Haifa Street,Q4871175,33.315241,44.3660671,2,0,0
162,U.S. raid on the Iranian Liaison Office in Arbil,Q7863480,36.190073,43.9930303,2,0,1
163,Operation Arbead II,Q7096757,33.3443576,43.7812773,2,0,0
164,Battle of Najaf (2007),Q4871848,32.0608187,36.0941795,2,0,1
165,Operation Imposing Law,Q1747422,33.315241,44.3660671,2,0,0
166,Operation Shurta Nasir,Q7097544,33.6435199,42.8253662,2,0,0
167,Operation Murfreesboro,Q7097303,33.4366231,43.2682801,2,0,0
168,Operation Achilles,Q1616794,31.3636474,63.9586111,0,0,1
169,Battle of Baqubah,Q2237337,33.7517053,44.6080708,2,0,0
170,Operation Valiant Guardian,Q7097682,32.5597614,41.9196471,0,0,0
171,Operation Black Eagle,Q3354655,31.9740458,44.8957445,2,0,0
172,Laghman airstrikes,Q6472107,34.6897687,70.1455805,0,0,1
173,Operation Alljah,Q7096739,33.4607434,43.47411,0,0,0
174,Operation Forsythe Park,Q7097057,33.4607434,43.47411,0,0,0
175,Operation Dragon Fire East,Q7097002,33.2309855,44.3425754,2,0,0
176,Operation Pickaxe-Handle,Q7097394,31.3636474,63.9586111,0,0,1
177,Battle of Bargal (2007),Q4870424,11.2854783,51.0762536,0,0,0
178,Operation Tiger Hammer,Q7097639,33.3681412,44.363851,2,0,0
179,Operation Ardennes,Q7096760,30.9608333,46.1061111,0,0,0
180,Operation Commando Eagle,Q7096918,33.223191,43.679291,0,0,0
181,2007 Helmand Province airstrikes,Q4608594,31.3636474,63.9586111,0,0,1
182,Operation Bull Run,Q11798527,33.223191,43.679291,0,0,0
183,Hyderabad airstrike,Q5953962,31.3636474,63.9586111,0,0,1
184,Battle of Donkey Island,Q4870899,33.4366231,43.2682801,2,0,0
185,Operation Stampede 3,Q7097577,33.315241,44.3660671,2,0,0
186,Operation Saber Guardian,Q7097481,34.05459976,44.88679886,2,0,0
187,Operation Leyte Gulf,Q7097226,33.0546082,44.3578639,2,0,0
188,Operation Eagle Ares,Q7097017,33.01666641,44.29999924,2,0,0
189,Operation Polar Tempest,Q7097403,28.927019,-82.0037608,1,0,0
190,Operation Mawtini,Q16932796,32.90000153,41.59999847,0,0,0
191,Operation Purple Haze,Q7097429,33.315241,44.3660671,2,0,0
192,Operation Marne Avalanche,Q7097270,33.315241,44.3660671,2,0,0
193,Operation Hammer (Afghanistan),Q3030335,31.3636474,63.9586111,0,0,1
194,Battle of Firebase Anaconda,Q281145,32.9271287,66.1415263,0,0,1
195,Operation Rock Avalanche,Q2026322,34.8465893,71.097317,0,0,1
196,Operation Marne Courageous,Q16931346,33.315241,44.3660671,2,0,0
197,Operation Lion's Leap,Q7097238,31.9740458,44.8957445,2,0,0
198,Nineveh campaign,Q7038210,36.229574,42.2362435,0,0,0
199,Dobley airstrike,Q5286642,5.152149,46.199616,0,0,0
200,Battle of Basra (2008),Q2888122,30.5257657,47.773797,2,0,0
201,Operation Defeat Al Qaeda in the North,Q7096967,NA,NA,NA,NA,NA
202,Battle of Garmsir,Q4871080,31.3636474,63.9586111,0,0,1
203,Battle of Shok Valley,Q4872371,35.3250223,70.9071236,0,0,1
204,Battle of Afghanya,Q4870218,34.9810572,69.6214562,0,0,1
205,Dhusamareb airstrike,Q1328419,5.5380625,46.3864672,0,0,0
206,Gora Prai airstrike,Q5584353,34.5355951,71.2874209,0,0,1
207,Haska Meyna wedding party airstrike,Q5252012,34.0926303,70.4692245,0,0,1
208,Battle of Wanat,Q2890373,35.3250223,70.9071236,0,0,1
209,Operation Augurs of Prosperity,Q3354646,33.7733487,45.1494505,0,0,0
210,Battle of Shewan,Q2889960,32.495328,62.2626627,0,0,1
211,Battle of Ebrahimkhel,Q4870947,33.217487,68.356674,0,0,1
212,Azizabad airstrike,Q2909596,33.363956,62.343346,0,0,0
213,Operation Eagle's Summit,Q3354694,32.31666565,65.1166687,0,0,1
214,Battle of Khaz Oruzgan,Q4871421,32.9298484,66.6890963,0,0,1
215,Miramshah airstrike,Q12327344,32.9430659,69.9550338,0,0,1
216,Baghar China airstrike,Q4841775,32.3202371,69.8597406,0,0,1
217,2008 Abu Kamal raid,Q553332,40.3819121,-74.3238165,1,0,0
218,Wech Baghtu wedding party airstrike,Q7979006,32.0740778,66.1415263,0,0,1
219,Shrawangai Nazarkhel airstrike,Q7503440,32.6265744,69.8418718,0,0,1
220,Battle of Alasay,Q385546,34.844218,69.9312117,0,0,1
221,First and Second Battles of Kakarak,Q5454117,32.9271287,66.1415263,0,0,1
222,Attack on Bari Alai,Q17182139,34.8465893,71.097317,0,0,1
223,Granai airstrike,Q1136783,32.6898446,62.7323884,0,0,1
224,Operation Panther's Claw,Q3354803,31.3636474,63.9586111,0,0,1
225,Operation Strike of the Sword,Q2549377,31.38333321,64.31666565,0,0,1
226,Operation Oqab,Q2026247,36.7285511,68.8678982,0,0,1
227,Operation Champion Sword,Q7096884,33.3585079,69.8597406,0,0,1
228,Battle of Dahaneh,Q2888379,33.02855682,62.14211273,0,0,1
229,2009 Kunduz airstrike,Q1848486,36.7285907,68.8680663,0,0,1
230,Battle of Ganjgal,Q4871076,34.8465893,71.097317,0,0,1
231,2009 Baraawe raid,Q10751263,1.100000024,44.01666641,2,0,0
232,Battle of Kamdesh,Q2664174,35.42309952,71.3289032,0,0,1
233,Operation Cobra's Anger,Q1128855,32.4000226,64.4318916,0,0,1
234,Operation Septentrion,Q3354840,34.6313402,69.7182676,0,0,1
235,Night raid on Narang,Q6965344,34.7575631,71.0376754,0,0,1
236,Raid on Khataba,Q6400879,33.59999847,69.21666718,0,0,1
237,Operation Moshtarak,Q843588,31.51666641,64.1166687,0,0,1
238,Uruzgan helicopter attack,Q8207886,32.9271287,66.1415263,0,0,1
239,Shah Wali Kot Offensive,Q2083522,32.0740778,66.1415263,0,0,1
240,Battle of Sangin (2010),Q4872292,32.0710999,64.8525866,0,0,1
241,2010 Sangin airstrike,Q7418013,32.0710999,64.8525866,0,0,1
242,Battle of the Palm Grove,Q4872982,33.7733487,45.1494505,0,0,0
243,Operation Dragon Strike,Q2026053,30.9960679,65.475736,0,0,1
244,Operation Halmazag,Q1234017,36.7285511,68.8678982,0,0,1
245,Operation Bulldog Bite,Q7096856,34.8465893,71.097317,0,0,1
246,Mano Gai airstrike,Q6751071,34.8728983,71.1556204,0,0,1
247,Datta Khel airstrike,Q5227745,33.15000153,70.43333435,0,0,1
248,Battle of Barawala Kalay Valley,Q24905428,34.8465893,71.097317,0,0,1
249,Battle of Do Ab,Q4870881,35.3250223,70.9071236,0,0,1
250,Operation Hammer Down,Q30589255,35,71.1,0,0,1
251,Baraki Barak airstrike,Q4858273,33.9690929,68.9509787,0,0,1
252,Operation Observant Compass,Q65066391,NA,NA,NA,NA,NA
253,2011 NATO attack in Pakistan,Q543279,34.5,71,0,0,1
254,2012 Kapisa airstrike,Q4625940,34.9971359,69.8359154,0,0,1
255,Raid on Kunar,Q6444187,34.8465893,71.097317,0,0,1
256,September 2012 raid on Camp Bastion,Q15276208,31.3636474,63.9586111,0,0,1
257,2013 raid on Barawe,Q17000965,1.1161954,44.0318162,2,0,0
258,Shabwah Governorate offensive,Q23022688,14.3545083,47.0802023,0,0,1
259,Siege of Amirli,Q17984925,34.7264563,44.5854917,2,0,0
260,2014 American raid in Libya,Q23022941,26.3351,17.228331,0,0,0
261,Battle of Tikrit,Q17286795,34.59999847,43.66666794,2,0,0
262,Battle for Mosul Dam,Q17573637,36.630278,42.823056,1,0,1
263,Operation Indian Ocean,Q18128999,5.152149,46.199616,0,0,0
264,Battle of Suq al Ghazi,Q18148976,33.315241,44.3660671,2,0,0
265,Derna campaign (2014–16),Q18639765,32.755613,22.6377432,2,0,0
266,Battle of Baiji (October–November 2014),Q19799151,35.0180032,43.4452148,2,0,0
267,Battle of Baiji (2014–15),Q17621839,35.0180032,43.4452148,2,0,0
268,Operation Freedom's Sentinel,Q21296923,33.93911,67.709953,0,0,1
269,Mosul offensive (2015),Q20647259,35.8003006,43.28969955,1,0,0
270,Al-Hasakah offensive,Q19428973,36.405515,40.7969149,2,0,1
271,Second Battle of Tikrit,Q19407785,34.59999847,43.66666794,2,0,0
272,Battle of Sarrin (March–April 2015),Q19691931,36.58750153,38.29972076,0,0,1
273,Al-Karmah offensive (2015),Q19864219,33.39972305,43.90888977,2,0,0
274,Al-Hasakah offensive,Q20050670,36.405515,40.7969149,2,0,1
275,May 2015 U.S. special forces raid in Syria,Q20860131,35.3296518,40.1350341,2,0,1
276,Battle of Sarrin (June–July 2015),Q20715216,36.58750153,38.29972076,0,0,1
277,Al-Hasakah city offensive (June 2015),Q20241081,36.507867,40.7462671,2,0,1
278,Battle of Ramadi (2015–16),Q21685887,33.41600037,43.29999924,2,0,0
279,Kunduz hospital airstrike,Q21057198,36.7285511,68.8678982,0,0,1
280,Operation Tidal Wave II,Q22907504,34.45000076,40.93333435,2,0,0
281,Al-Hawl Offensive (2015),Q21405560,36.405515,40.7969149,0,0,1
282,November 2015 Sinjar offensive,Q21472342,36.229574,42.2362435,0,0,0
283,Nineveh Plains offensive,Q21814411,36.6133338,43.1531426,0,0,1
284,Tishrin Dam offensive,Q21860041,36.2262393,37.4681396,0,0,1
285,Nangarhar Offensive (2016),Q23039091,34.11669922,70.21669769,0,0,1
286,Al-Shaddadi offensive (2016),Q22894201,36.405515,40.7969149,0,0,1
287,Abyan conflict,Q32634886,13.6343413,46.0563212,0,0,1
288,Northern Aleppo offensive,Q25242026,36.2262393,37.4681396,0,0,1
289,Battle of Hit (2016),Q23403028,33.6691115,42.6293446,0,0,0
290,Mosul offensive (2016),Q23540783,35.8003006,43.28969955,1,0,0
291,Battle of Al Mukalla (2016),Q23935847,14.5404328,49.127197,1,0,1
292,Hadramaut Insurgency,Q30682487,16.9304135,49.3653149,0,0,1
293,2016 Sirte offensive,Q24467647,31.2071991,16.5916996,2,0,0
294,Northern Raqqa offensive (May 2016),Q24255637,35.9594106,38.9981052,2,0,1
295,Battle of Fallujah (2016),Q24205448,33.36669922,43.76670074,2,0,0
296,Tokhar airstrikes (2016),Q28001554,35.9949821,37.8936663,0,0,1
297,Battle of al-Hasakah (2016),Q26413779,36.507867,40.7462671,2,0,1
298,Northern al-Bab offensive,Q27630575,36.2697715,37.5534526,0,0,1
299,September 2016 Deir ez-Zor air raid,Q26945162,35.2851153,40.1762432,1,0,1
300,2016 Dabiq offensive,Q27185813,36.2262393,37.4681396,1,0,1
301,Battle of Boz Qandahari,Q28223860,36.7285907,68.8680663,0,0,1
302,Battle of al-Bab,Q27915277,36.2697715,37.5534526,0,0,1
303,Palmyra offensive (December 2016),Q27988133,34.2567123,38.3165725,0,0,0
304,2017 southern Syria offensive,Q28162889,32.7128968,36.5662858,2,0,1
305,Fall of Sangin,Q30686667,32.0710999,64.8525866,0,0,1
306,East Aleppo offensive,Q28846183,36.37250137,37.51779938,2,0,1
307,Raid on Yakla,Q28716912,14.3588662,45.4498065,0,0,1
308,2017 Sangin airstrike,Q30323833,32.06666565,64.83333588,0,0,1
309,2017 al-Jinah airstrike,Q28983702,36.10789871,36.78699875,1,0,1
310,2017 Mosul airstrike,Q29524697,36.34000015,43.13000107,1,0,0
311,Battle of Tabqa Dam,Q29258911,35.5501285,38.4849923,0,0,1
312,2017 Nangarhar airstrike,Q29385187,34.06666565,70.6166687,0,0,1
313,Western Nineveh offensive (2017),Q30014900,36.229574,42.2362435,0,0,0
314,Mohmand Valley raid,Q60770016,34.06666565,70.6166687,0,0,1
315,2017 raid on Barii,Q30625807,10.1203847,49.6911374,0,0,0
316,2017 Shayrat missile strike,Q29197866,34.48333359,36.90000153,2,0,1
317,2017 Baghdad–Damascus highway offensive,Q29991963,34.3504343,38.6600205,0,0,0
318,2017 Baghdad–Damascus highway offensive,Q29991963,34.3504343,38.6600205,0,0,0
319,Raid on Al Hathla,Q30089867,15.515888,45.4498065,0,0,1
320,Battle of Raqqa (2017),Q30140821,35.9594106,38.9981052,2,0,1
321,Battle of Tora Bora (2017),Q30304278,34.1718313,70.6216794,0,0,1
322,Ja'Din shootdown incident,Q60756557,35.66666794,38.70000076,0,0,1
323,Hawija offensive (2017),Q40532579,35.31666565,43.76666641,2,0,0
324,Eastern Syria insurgency,Q60761563,34.802075,38.996815,0,0,1
325,November 2017 Somalia airstrike,Q60755056,4.321015,45.2993862,0,0,0
326,December 2017 Chad Basin clash,Q60754741,13.6768647,12.7135121,0,0,0
327,Battle of Khasham,Q48150708,35.33333206,40.29999924,0,0,0
328,Deir ez-Zor Governorate clashes (April 2018),Q52941555,35.3296518,40.1350341,1,0,1
329,2018 missile strikes against Syria,Q51844684,34.802075,38.996815,0,0,1
330,December 2018 airstrikes in Gandarshe,Q60765736,1.833333015,44.96666718,0,0,0
331,Barisha raid,Q72587856,36.16579819,36.62739944,0,0,1
332,Battle of Baghuz Fawqani,Q61843818,34.45000076,40.95000076,2,0,0
333,2020 Baghdad International Airport airstrike,Q80754846,33.25,44.25,2,0,0
334,Rescue of Jessica Buchanan and Poul Hagen Thisted,Q7315022,6.140277863,46.62555695,1,0,0
335,December 2019 United States airstrikes in Iraq and Syria,Q26847124,32.90000153,41.59999847,0,0,0
336,February 2021 United States airstrike in Syria,Q105707091,34.45360947,40.9366684,2,0,0
337,June 2021 United States airstrike in Syria,Q107504334,34.45360947,40.9366684,2,0,0
338,January 1993 airstrikes on Iraq,Q105773263,30.93972206,46.09249878,0,0,0
339,Battle of Karbala,Q4871388,32.61666489,44.03333282,2,0,0
340,2009 Makeen airstrike,Q4614248,32.62099838,69.8393631,0,0,1
341,Battle of Farah,Q54321840,32.34361267,62.1194458,0,0,1
342,Ghazni offensive,Q56085424,33.54916763,68.42333221,2,0,1
