row_operation,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9
Deir ez-Zor offensive_Q39899474,intervention,Arab Spring_Q33761,Syrian Civil War_Q178810,Rojava conflict_Q2384201,2013 Syrian Kurdish–Islamist conflict_Q15109939,Deir ez-Zor offensive_Q39899474,Operation Roundup_,NA,NA
Deir ez-Zor offensive_Q39899474,intervention,Arab Spring_Q33761,Syrian Civil War_Q178810,Rojava conflict_Q2384201,2013 Syrian Kurdish–Islamist conflict_Q15109939,Deir ez-Zor offensive_Q39899474,Terrorism Defeat Battle_,NA,NA
Manbij offensive_Q23701421,intervention,Arab Spring_Q33761,Syrian Civil War_Q178810,Rojava conflict_Q2384201,2013 Syrian Kurdish–Islamist conflict_Q15109939,Manbij offensive_Q23701421,Tokhar airstrikes (2016)_Q28001554,NA,NA
Northern Raqqa offensive (May 2016)_Q24255637,intervention,Arab Spring_Q33761,Syrian Civil War_Q178810,Rojava conflict_Q2384201,2013 Syrian Kurdish–Islamist conflict_Q15109939,Northern Raqqa offensive (May 2016)_Q24255637,NA,NA,NA
Battle of Raqqa (2017)_Q30140821,intervention,Arab Spring_Q33761,Syrian Civil War_Q178810,Rojava conflict_Q2384201,2013 Syrian Kurdish–Islamist conflict_Q15109939,Raqqa campaign (2016–2017)_Q27761867,Battle of Raqqa (2017)_Q30140821,NA,NA
Battle of Tabqa Dam_Q29258911,intervention,Arab Spring_Q33761,Syrian Civil War_Q178810,Rojava conflict_Q2384201,2013 Syrian Kurdish–Islamist conflict_Q15109939,Raqqa campaign (2016–2017)_Q27761867,Battle of Tabqa Dam_Q29258911,NA,NA
NA,intervention,Arab Spring_Q33761,Syrian Civil War_Q178810,Rojava conflict_Q2384201,Eastern Syria insurgency_Q60761563,NA,NA,NA,NA
NA,intervention,Arab Spring_Q33761,Syrian Civil War_Q178810,spillover of the Syrian Civil War_Q17272643,Turkey–ISIL conflict_Q20743978,NA,NA,NA,NA
2016 Dabiq offensive_Q27185813,intervention,Arab Spring_Q33761,Syrian Civil War_Q178810,Turkish involvement in the Syrian Civil War_Q18208094,Operation Euphrates Shield_Q26690015,2016 Dabiq offensive_Q27185813,NA,NA,NA
Battle of al-Bab_Q27915277,intervention,Arab Spring_Q33761,Syrian Civil War_Q178810,Turkish involvement in the Syrian Civil War_Q18208094,Operation Euphrates Shield_Q26690015,Battle of al-Bab_Q27915277,NA,NA,NA
East Aleppo offensive_Q28846183,intervention,Arab Spring_Q33761,Syrian Civil War_Q178810,Turkish involvement in the Syrian Civil War_Q18208094,Operation Euphrates Shield_Q26690015,East Aleppo offensive_Q28846183,NA,NA,NA
Northern al-Bab offensive_Q27630575,intervention,Arab Spring_Q33761,Syrian Civil War_Q178810,Turkish involvement in the Syrian Civil War_Q18208094,Operation Euphrates Shield_Q26690015,Northern al-Bab offensive_Q27630575,NA,NA,NA
2020 Baghdad International Airport airstrike_Q80754846,intervention,Arab Winter_Q17512479,Iran–Saudi Arabia proxy conflict_Q22948406,2019–2021 Persian Gulf crisis_Q65920364,2020 Baghdad International Airport airstrike_Q80754846,NA,NA,NA,NA
December 2019 United States airstrikes in Iraq and Syria_Q26847124,intervention,Arab Winter_Q17512479,Iran–Saudi Arabia proxy conflict_Q22948406,2019–2021 Persian Gulf crisis_Q65920364,December 2019 United States airstrikes in Iraq and Syria_Q26847124,NA,NA,NA,NA
February 2021 United States airstrike in Syria_Q105707091,intervention,Arab Winter_Q17512479,Iran–Saudi Arabia proxy conflict_Q22948406,2019–2021 Persian Gulf crisis_Q65920364,February 2021 United States airstrike in Syria_Q105707091,NA,NA,NA,NA
June 2021 United States airstrike in Syria_Q107504334,intervention,Arab Winter_Q17512479,Iran–Saudi Arabia proxy conflict_Q22948406,2019–2021 Persian Gulf crisis_Q65920364,June 2021 United States airstrike in Syria_Q107504334,NA,NA,NA,NA
NA,intervention,Conflicts in the Horn of Africa_Q40719,Somali Civil War_Q243620,piracy off the coast of Somalia_Q214451,NA,NA,NA,NA,NA
NA,intervention,Conflicts in the Horn of Africa_Q40719,Somali Civil War_Q243620,Somali Civil War (2009–present)_Q1052332,NA,NA,NA,NA,NA
NA,intervention,Conflicts in the Horn of Africa_Q40719,Somali Civil War_Q243620,Somalia War (2006–2009)_Q1072042,NA,NA,NA,NA,NA
Operation Gothic Serpent_Q3428977,intervention,Conflicts in the Horn of Africa_Q40719,Somali Civil War_Q243620,United Nations Operation in Somalia II_Q1778229,Operation Gothic Serpent_Q3428977,Battle of Mogadishu (1993)_Q52226,NA,NA,NA
Operation United Shield_Q16250538,intervention,Conflicts in the Horn of Africa_Q40719,Somali Civil War_Q243620,United Nations Operation in Somalia II_Q1778229,Operation United Shield_Q16250538,NA,NA,NA,NA
Dobley airstrike_Q5286642,intervention,Conflicts in the Horn of Africa_Q40719,Somali Civil War_Q243620,War in Somalia (2006-2009)_Q1072042,Dobley airstrike_Q5286642,NA,NA,NA,NA
2017 raid on Barii_Q30625807,intervention,Conflicts in the Horn of Africa_Q40719,Somali Civil War_Q243620,War in Somalia (2009–)_Q1052332,2017 raid on Barii_Q30625807,NA,NA,NA,NA
Operation Indian Ocean_Q18128999,intervention,Conflicts in the Horn of Africa_Q40719,Somali Civil War_Q243620,War in Somalia (2009–)_Q1052332,Operation Indian Ocean_Q18128999,NA,NA,NA,NA
NA,intervention,Ethiopian–Somali conflict_Q5692053,NA,NA,NA,NA,NA,NA,NA
NA,intervention,Gulf War_Q37643,Battle of Bubiyan_Q4870581,NA,NA,NA,NA,NA,NA
NA,intervention,Gulf War_Q37643,Defense of Saudi Arabian country_,NA,NA,NA,NA,NA,NA
Amiriyah shelter bombing_Q2071090,intervention,Gulf War_Q37643,Gulf War air campaign_Q8256467,Amiriyah shelter bombing_Q2071090,NA,NA,NA,NA,NA
Attack on Ras Tanura_Q28162756,intervention,Gulf War_Q37643,Gulf War air campaign_Q8256467,Attack on Ras Tanura_Q28162756,NA,NA,NA,NA,NA
NA,intervention,Gulf War_Q37643,Gulf War air campaign_Q8256467,Operation Instant Thunder_Q7097167,NA,NA,NA,NA,NA
