"","level_1","level_2","level_3","level_4","level_5","level_6","level_7","level_8","level_9"
"35","intervention","Arab Spring_Q33761","Syrian Civil War_Q178810","Rojava conflict_Q2384201","2013 Syrian Kurdish–Islamist conflict_Q15109939","Raqqa campaign (2016–2017)_Q27761867","Battle of Raqqa (2017)_Q30140821",NA,NA
"36","intervention","Arab Spring_Q33761","Syrian Civil War_Q178810","Rojava conflict_Q2384201","2013 Syrian Kurdish–Islamist conflict_Q15109939","Raqqa campaign (2016–2017)_Q27761867","Battle of Tabqa Dam_Q29258911",NA,NA
"37","intervention","Arab Spring_Q33761","Syrian Civil War_Q178810","Rojava conflict_Q2384201","Eastern Syria insurgency_Q60761563",NA,NA,NA,NA
"38","intervention","Arab Spring_Q33761","Syrian Civil War_Q178810","spillover of the Syrian Civil War_Q17272643","Turkey–ISIL conflict_Q20743978",NA,NA,NA,NA
"39","intervention","Arab Spring_Q33761","Syrian Civil War_Q178810","Syrian Desert campaign (May–July 2017)_Q29991963",NA,NA,NA,NA,NA
"40","intervention","Arab Spring_Q33761","Syrian Civil War_Q178810","Turkish involvement in the Syrian Civil War_Q18208094","Operation Euphrates Shield_Q26690015","2016 Dabiq offensive_Q27185813",NA,NA,NA
"41","intervention","Arab Spring_Q33761","Syrian Civil War_Q178810","Turkish involvement in the Syrian Civil War_Q18208094","Operation Euphrates Shield_Q26690015","Battle of al-Bab_Q27915277",NA,NA,NA
"42","intervention","Arab Spring_Q33761","Syrian Civil War_Q178810","Turkish involvement in the Syrian Civil War_Q18208094","Operation Euphrates Shield_Q26690015","East Aleppo offensive_Q28846183",NA,NA,NA
"43","intervention","Arab Spring_Q33761","Syrian Civil War_Q178810","Turkish involvement in the Syrian Civil War_Q18208094","Operation Euphrates Shield_Q26690015","Northern al-Bab offensive_Q27630575",NA,NA,NA
"44","intervention","Arab Winter_Q17512479","Iran–Saudi Arabia proxy conflict_Q22948406","2019–2021 Persian Gulf crisis_Q65920364","2020 Baghdad International Airport airstrike_Q80754846",NA,NA,NA,NA
"45","intervention","Arab Winter_Q17512479","Iran–Saudi Arabia proxy conflict_Q22948406","2019–2021 Persian Gulf crisis_Q65920364","December 2019 United States airstrikes in Iraq and Syria_Q26847124",NA,NA,NA,NA
"46","intervention","Arab Winter_Q17512479","Iran–Saudi Arabia proxy conflict_Q22948406","2019–2021 Persian Gulf crisis_Q65920364","February 2021 United States airstrike in Syria_Q105707091",NA,NA,NA,NA
"47","intervention","Arab Winter_Q17512479","Iran–Saudi Arabia proxy conflict_Q22948406","2019–2021 Persian Gulf crisis_Q65920364","June 2021 United States airstrike in Syria_Q107504334",NA,NA,NA,NA
"48","intervention","Conflicts in the Horn of Africa_Q40719","Somali Civil War_Q243620","piracy off the coast of Somalia_Q214451",NA,NA,NA,NA,NA
"49","intervention","Conflicts in the Horn of Africa_Q40719","Somali Civil War_Q243620","Somali Civil War (2009–present)_Q1052332",NA,NA,NA,NA,NA
"50","intervention","Conflicts in the Horn of Africa_Q40719","Somali Civil War_Q243620","Somalia War (2006–2009)_Q1072042",NA,NA,NA,NA,NA
"51","intervention","Conflicts in the Horn of Africa_Q40719","Somali Civil War_Q243620","United Nations Operation in Somalia II_Q1778229","Operation Gothic Serpent_Q3428977","Battle of Mogadishu (1993)_Q52226",NA,NA,NA
"52","intervention","Conflicts in the Horn of Africa_Q40719","Somali Civil War_Q243620","United Nations Operation in Somalia II_Q1778229","Operation United Shield_Q16250538",NA,NA,NA,NA
"53","intervention","Conflicts in the Horn of Africa_Q40719","Somali Civil War_Q243620","War in Somalia (2006-2009)_Q1072042","Dobley airstrike_Q5286642",NA,NA,NA,NA
"54","intervention","Conflicts in the Horn of Africa_Q40719","Somali Civil War_Q243620","War in Somalia (2009–)_Q1052332","2017 raid on Barii_Q30625807",NA,NA,NA,NA
"55","intervention","Conflicts in the Horn of Africa_Q40719","Somali Civil War_Q243620","War in Somalia (2009–)_Q1052332","Operation Indian Ocean_Q18128999",NA,NA,NA,NA
"56","intervention","Ethiopian–Somali conflict_Q5692053",NA,NA,NA,NA,NA,NA,NA
"57","intervention","Gulf War_Q37643","Battle of Bubiyan_Q4870581",NA,NA,NA,NA,NA,NA
"58","intervention","Gulf War_Q37643","Defense of Saudi Arabian country_",NA,NA,NA,NA,NA,NA
"59","intervention","Gulf War_Q37643","Gulf War air campaign_Q8256467","Amiriyah shelter bombing_Q2071090",NA,NA,NA,NA,NA
"60","intervention","Gulf War_Q37643","Gulf War air campaign_Q8256467","Attack on Ras Tanura_Q28162756",NA,NA,NA,NA,NA
"61","intervention","Gulf War_Q37643","Gulf War air campaign_Q8256467","Operation Instant Thunder_Q7097167",NA,NA,NA,NA,NA
"62","intervention","Gulf War_Q37643","Gulf War air campaign_Q8256467","Package Q Strike_Q7122885",NA,NA,NA,NA,NA
"63","intervention","Gulf War_Q37643","Gulf War air campaign_Q8256467","Samurra Air Battle_Q28162754",NA,NA,NA,NA,NA
"64","intervention","Gulf War_Q37643","Iraqi no-fly zones_Q899657","Cruise missile strikes on Iraq_Q1781133",NA,NA,NA,NA,NA
"65","intervention","Gulf War_Q37643","Iraqi no-fly zones_Q899657","Iraqi Kurdish Civil War_Q1154912",NA,NA,NA,NA,NA
"66","intervention","Gulf War_Q37643","Iraqi no-fly zones_Q899657","Kurdistan Islamist Conflict_Q6445800",NA,NA,NA,NA,NA
"67","intervention","Gulf War_Q37643","Iraqi no-fly zones_Q899657","Lead-up to the Iraq War_Q6508337","Operation Vigilant Sentinel_Q7097689",NA,NA,NA,NA
"68","intervention","Gulf War_Q37643","Iraqi no-fly zones_Q899657","Operation Desert Spring_Q7096978",NA,NA,NA,NA,NA
"69","intervention","Gulf War_Q37643","Iraqi no-fly zones_Q899657","Operation Desert Thunder_Q3354687",NA,NA,NA,NA,NA
"70","intervention","Gulf War_Q37643","Iraqi no-fly zones_Q899657","Operation Northern Watch_Q2026233",NA,NA,NA,NA,NA
"71","intervention","Gulf War_Q37643","Iraqi no-fly zones_Q899657","Operation Provide Comfort_Q2281470",NA,NA,NA,NA,NA
"72","intervention","Gulf War_Q37643","Iraqi no-fly zones_Q899657","Operation Southern Watch_Q2026406","1993 cruise missile strikes on Iraq_Q5189962",NA,NA,NA,NA
"73","intervention","Gulf War_Q37643","Iraqi no-fly zones_Q899657","Operation Southern Watch_Q2026406","Bombing of Iraq_Q1327861",NA,NA,NA,NA
"74","intervention","Gulf War_Q37643","Iraqi no-fly zones_Q899657","Operation Southern Watch_Q2026406","January 1993 airstrikes on Iraq_Q105773263",NA,NA,NA,NA
"75","intervention","Gulf War_Q37643","Iraqi no-fly zones_Q899657","Operation Southern Watch_Q2026406","Operation Southern Focus_Q2739563",NA,NA,NA,NA
"76","intervention","Gulf War_Q37643","Iraqi no-fly zones_Q899657","Operation Southern Watch_Q2026406","Operation Vigilant Warrior_Q1838811",NA,NA,NA,NA
"77","intervention","Gulf War_Q37643","Liberation of Kuwait campaign_Q6541036","Battle for Jalibah Airfield_Q4870165",NA,NA,NA,NA,NA
"78","intervention","Gulf War_Q37643","Liberation of Kuwait campaign_Q6541036","Battle of 73 Easting_Q1402530",NA,NA,NA,NA,NA
"79","intervention","Gulf War_Q37643","Liberation of Kuwait campaign_Q6541036","Battle of Ad-Dawrah_Q4870215",NA,NA,NA,NA,NA
"80","intervention","Gulf War_Q37643","Liberation of Kuwait campaign_Q6541036","Battle of Al Busayyah_Q3636316",NA,NA,NA,NA,NA
"81","intervention","Gulf War_Q37643","Liberation of Kuwait campaign_Q6541036","Battle of Khafji_Q718770",NA,NA,NA,NA,NA
