Islamic Front for the Iraqi Resistance,NA,1,1
Islamic Jihad of Yemen,NA,1,1
Islamic Jihad Union,Q1674120,1,1
Islamic Kurdistan,Q1644886,1,1
Islamic Movement of Uzbekistan,NA,2,3
Islamic State,Q2429253,2,3
Islamic State affiliates,Q2429253,2,3
Islamic State in Somalia,NA,2,3
Islamic state of Iraq,NA,2,3
Islamic State of Iraq,NA,2,3
Islamic State of Iraq and the Levant,NA,2,3
Islamic State of Iraq and the Levant - Khorasan Province,NA,2,3
Islamic State of Iraq and the Levant - Yemen Province,Q23072467,2,3
Islamic State of Iraq and the Levant Libyan Provinces,Q19824111,2,3
Islamic State of Iraq and the Levant Wilayat al-Jazair,NA,2,3
Islamic State of Iraq and the Levant Wilayat Gharb Ifriqiyyah,NA,2,3
Islamist lone wolves,NA,1,1
ISS,Q29025613,2,3
Jabhatul Islamiya,Q6110167,1,1
Jaish al-Mujahideen,Q6933310,1,1
Jaish al-Rashideen,Q4120437,1,1
Jaish-e-Mohammed,Q286627,1,1
Jama'at al-Tawhid wal-Jihad,Q17984585,1,1
Jama'at Nasr al-Islam wal Muslimin,Q28877411,2,3
Jamaah Ansharut Tauhid,Q6127176,1,1
Jamaat Ansar al-Sunna,Q568912,1,1
Jamaat-ul-Ahrar,Q18711585,1,1
Jaysh Muhammad,Q6176532,2,3
Jemaah Islamiyah,Q506245,1,1
JI,Q506245,1,1
Jihad and Reform Front,Q6192463,1,1
Jihadist groups,NA,1,1
JTJ,Q17984585,1,1
Jund al-Aqsa,Q17006617,1,2
Jund al-Khilafah,Q18122635,2,3
Jundallah,Q3186738,1,1
Kata'ib Hezbollah,Q4119382,2,3
KCP,Q6445784,1,1
Khorasan,Q18112628,2,3
Khorasan group,Q18112628,2,3
Khorasan Province,Q21070585,2,3
KIM,Q19429040,1,1
Kurdistan Islamic Group,Q1644886,1,1
Kurdistan Islamic Movement,Q1674121,1,1
Lashkar al-Zil,Q6493224,2,3
Lashkar-e-Islam,Q1806585,2,3
Lashkar-e-Jhangvi,Q2746169,1,1
